Year,Name,G,PTS,TRB,AST,FG%,3P%,FT%,WS,WS/48,Position,isHoF,playedABA,startYear,endYear,yearsPlayed,numAllStar,numTeams,numChampionships,numFinalsMVP,numMVP,isROY,numDPOY,numAllNBA,numAllDef,numPTSLeader,numREBLeader,numASTLeader,totalPTS,totalREB,totalAST,isCollegeChampion,isCollegeAllAmerican,peakWS,numPlayoffApp,numFinalApp,numConfFinalsApp,numOlympicApp,isOlympicGold
1995,Kareem Abdul-Jabbar   Player / CBB player,1560,24.6,11.2,3.6,0.559,0.056,0.721,273.4,0.228,C,1,,1969,1989,20,19,2,6,2,6,1,NA,15,11,2,1,0,38387,17440,5660,1,1,25.4,18,10,14,0,0
2018,Ray Allen   Player / Oly / CBB player,1300,18.9,4.1,3.4,0.452,0.4,0.894,145.1,0.15,SG,1,,1996,2014,18,10,4,2,0,0,0,0,2,0,0,0,0,24505,5272,4361,0,1,13.7,11,4,6,1,1
1991,Tiny Archibald   Player / CBB player,876,18.8,2.3,7.4,0.467,0.224,0.81,83.4,0.128,PG,1,,1970,1984,13,6,4,1,0,0,0,NA,5,0,1,0,1,16481,2046,6476,0,0,14.2,5,1,3,0,0
1978,Paul Arizin   Player / CBB player,713,22.8,8.6,2.3,0.421,,0.81,108.8,0.183,SF,1,,1950,1962,10,10,1,1,NA,0,0,NA,4,NA,2,0,0,16266,6129,1665,0,1,16,8,1,4,0,0
2006,Charles Barkley   Player / Oly / CBB player,1073,22.1,11.7,3.9,0.541,0.266,0.735,177.2,0.216,SF,1,,1984,2000,16,11,3,0,0,1,0,0,11,0,0,1,0,23757,12546,4215,0,0,17.3,13,1,3,2,2
1987,Rick Barry   Player / CBB player,1020,24.8,6.7,4.9,0.456,0.297,0.893,128.9,0.162,SF,1,,1965,1980,14,12,4,1,NA,0,1,NA,10,NA,1,0,0,25279,6863,4952,0,1,14.4,10,3,5,0,0
1977,Elgin Baylor   Player / Coach / Exec / CBB player,846,27.4,13.5,4.3,0.431,,0.78,104.2,0.148,SF,1,,1958,1972,14,11,1,0,NA,0,1,NA,10,NA,0,0,0,23149,11463,3650,0,1,14.8,12,8,11,0,0
2016,Zelmo Beaty   Player,889,17.1,10.9,1.5,0.494,0.154,0.771,106,0.171,C,1,,1962,1975,12,5,3,1,NA,0,0,NA,2,NA,0,0,0,15207,9665,1365,0,0,16,11,2,9,0,0
1993,Walt Bellamy   Player / Oly / CBB player,1043,20.1,13.7,2.4,0.516,,0.632,130,0.16,C,1,,1961,1975,14,4,5,0,NA,0,1,NA,0,NA,0,0,0,20941,14241,2544,0,1,16.3,7,0,2,0,0
1990,Dave Bing   Player / CBB player,901,20.3,3.8,6,0.441,,0.775,68.8,0.101,SG,1,,1966,1978,12,7,3,0,NA,0,1,NA,3,NA,1,0,0,18327,3420,5397,0,1,11.7,5,0,0,0,0
